extraSmall.LargeTitle:NYTCheltenham-Bold:17 -> (size: 16.000, ld: 3.200, lh: 16.000, lhr: 100%
extraSmall.LargeTitle:NYTCheltenham-BoldItalic:17 -> (size: 16.000, ld: 3.200, lh: 16.000, lhr: 100%
extraSmall.LargeTitle:NYTCheltenham-Book:17 -> (size: 16.000, ld: 3.200, lh: 16.000, lhr: 100%
extraSmall.LargeTitle:NYTCheltenham-BookItalic:17 -> (size: 16.000, ld: 3.200, lh: 16.000, lhr: 100%
extraSmall.LargeTitle:NYTCheltenham-ExtraBold:17 -> (size: 16.000, ld: 3.200, lh: 16.000, lhr: 100%
extraSmall.LargeTitle:NYTCheltenham-ExtraBoldItal:17 -> (size: 16.000, ld: 3.200, lh: 16.000, lhr: 100%
extraSmall.LargeTitle:NYTCheltenham-ExtraLight:17 -> (size: 16.000, ld: 3.200, lh: 16.000, lhr: 100%
extraSmall.LargeTitle:NYTCheltenham-ExtraLightItal:17 -> (size: 16.000, ld: 3.200, lh: 16.000, lhr: 100%
extraSmall.LargeTitle:NYTCheltenham-Light:17 -> (size: 16.000, ld: 3.200, lh: 16.000, lhr: 100%
extraSmall.LargeTitle:NYTCheltenham-LightItalic:17 -> (size: 16.000, ld: 3.200, lh: 16.000, lhr: 100%
extraSmall.LargeTitle:NYTCheltenham-LightSC:17 -> (size: 16.000, ld: 3.200, lh: 16.000, lhr: 100%
extraSmall.LargeTitle:NYTCheltenham-Medium:17 -> (size: 16.000, ld: 3.200, lh: 16.000, lhr: 100%
extraSmall.LargeTitle:NYTCheltenham-MediumItalic:17 -> (size: 16.000, ld: 3.200, lh: 16.000, lhr: 100%
extraSmall.LargeTitle:NYTCheltenhamCond-Bold:17 -> (size: 16.000, ld: 3.200, lh: 16.000, lhr: 100%
extraSmall.LargeTitle:NYTCheltenhamCond-BoldXC:17 -> (size: 16.000, ld: 3.200, lh: 16.000, lhr: 100%
extraSmall.LargeTitle:NYTCheltenhamCond-Medium:17 -> (size: 16.000, ld: 3.200, lh: 16.000, lhr: 100%
extraSmall.LargeTitle:NYTCheltenhamSH-Bold:17 -> (size: 16.000, ld: 3.200, lh: 16.000, lhr: 100%
extraSmall.LargeTitle:NYTCheltenhamSH-BoldItalic:17 -> (size: 16.000, ld: 3.200, lh: 16.000, lhr: 100%
extraSmall.LargeTitle:NYTCheltenhamSH-Italic:17 -> (size: 16.000, ld: 3.200, lh: 16.000, lhr: 100%
extraSmall.LargeTitle:NYTCheltenhamSH-Regular:17 -> (size: 16.000, ld: 3.200, lh: 16.000, lhr: 100%
extraSmall.LargeTitle:NYTCheltenhamWide-Italic:17 -> (size: 16.000, ld: 3.200, lh: 16.000, lhr: 100%
extraSmall.LargeTitle:NYTCheltenhamWide-Regular:17 -> (size: 16.000, ld: 3.200, lh: 16.000, lhr: 100%
extraSmall.LargeTitle:NYTDDingbats-Pi:17 -> (size: 16.000, ld: 0.144, lh: 16.000, lhr: 100%
extraSmall.LargeTitle:NYTFranklin-Bold:17 -> (size: 16.000, ld: 3.200, lh: 16.000, lhr: 100%
extraSmall.LargeTitle:NYTFranklin-BoldItalic:17 -> (size: 16.000, ld: 3.200, lh: 16.000, lhr: 100%
extraSmall.LargeTitle:NYTFranklin-ExtraBold:17 -> (size: 16.000, ld: 3.200, lh: 16.000, lhr: 100%
extraSmall.LargeTitle:NYTFranklin-ExtraBoldItalic:17 -> (size: 16.000, ld: 3.200, lh: 16.000, lhr: 100%
extraSmall.LargeTitle:NYTFranklin-Light:17 -> (size: 16.000, ld: 3.200, lh: 16.000, lhr: 100%
extraSmall.LargeTitle:NYTFranklin-LightItalic:17 -> (size: 16.000, ld: 3.200, lh: 16.000, lhr: 100%
extraSmall.LargeTitle:NYTFranklin-Medium:17 -> (size: 16.000, ld: 3.200, lh: 16.000, lhr: 100%
extraSmall.LargeTitle:NYTFranklin-MediumItalic:17 -> (size: 16.000, ld: 3.200, lh: 16.000, lhr: 100%
extraSmall.LargeTitle:NYTFranklin-Semibold:17 -> (size: 16.000, ld: 3.200, lh: 16.000, lhr: 100%
extraSmall.LargeTitle:NYTFranklin-SemiboldItalic:17 -> (size: 16.000, ld: 3.200, lh: 16.000, lhr: 100%
